type,channel,model,title,date,id (unique),content,category,isDemo
GENERATE TEST RIDES,Facebook,R 1300 RT,Book a Test Ride Post,2025-05-27,R1300RT_TESTRIDE_FB_001,🏍️ R 1300 RT TEST RIDES NOW OPEN! 🏍️<br><br>Experience The Commander - where ultimate expertise meets supreme comfort!<br><br>✅ Extended test experiences<br>✅ Full technology demonstration<br>✅ Special test ride offers<br><br>Limited command positions available. Book your ultimate touring experience!<br><br>[Book Now Button],Social booking,FALSE
GENERATE TEST RIDES,Email,R 1300 RS,Test Ride Invitation Email,2025-05-27,R1300RS_TESTRIDE_EMAIL_001,"Subject: Your exclusive R 1300 RS test ride awaits<br><br>Dear [Name],<br><br>You showed interest in the new R 1300 RS - now it's time to experience the Marathon Racer firsthand.<br><br>We're offering exclusive test rides to our valued customers. Feel the 145hp Boxer power, experience the race-inspired ergonomics, and discover why every second on this refined tourer is a celebration of joy.<br><br>Available test ride slots:<br>[Date/Time slots]<br><br>What to expect:<br>• 45-minute guided tour ride<br>• Full safety briefing<br>• Refreshments and R 1300 RS presentation<br>• Special pre-order pricing discussion<br><br>[CTA: Book Your Slot]<br><br>Limited slots available - reserve yours today!",Test ride invitation,FALSE
GENERATE TEST RIDES,Whatsapp,R 1300 RS,Test Ride Invitation Whatsapp,2025-05-27,R1300RS_TESTRIDE_WA_001,"Hi [Name]! 🏍️<br><br>The R 1300 RS Marathon Racer is ready for test rides! Want to feel what persistent excitement really means?<br><br>We have slots available:<br>📅 [Dates]<br>⏰ Morning & afternoon tours<br><br>Reply with your preferred time and we'll confirm! First come, first served 🏁",Test ride booking,FALSE
GENERATE TEST RIDES,SMS,R 1300 RS,Test Ride Invitation SMS,2025-05-27,R1300RS_TESTRIDE_SMS_001,BMW: R 1300 RS test rides now available! Experience the Marathon Racer - 145hp of refined touring excellence. Reply YES to book or call [number],Test ride invitation,FALSE
GENERATE TEST RIDES,SMS,R 1300 RS,Test Ride Booking Confirmation SMS,2025-05-27,R1300RS_TESTRIDE_SMS_002,BMW: Confirmed! Your R 1300 RS test ride is booked for [date] at [time]. Please bring your license. Reply CANCEL if needed. See you soon!,Booking confirmation,FALSE
GENERATE TEST RIDES,Email,R 1300 RS,Test Ride Event Invitation,2025-05-27,R1300RS_TESTRIDE_EMAIL_002,"Subject: You're invited: R 1300 RS Marathon Ride Event<br><br>Dear [Name],<br><br>Join us for an exclusive R 1300 RS touring event!<br><br>Date: [Date]<br>Time: 9am - 5pm<br>Location: [Dealership]<br><br>Experience:<br>• Extended test rides on scenic routes<br>• Professional ride leaders<br>• Lunch stop at [scenic location]<br>• Exclusive event-only offers<br>• R 1300 RS touring accessories showcase<br><br>Spaces limited to 15 riders.<br><br>[CTA: Reserve Your Spot]<br><br>Your BMW Motorrad Team",Event invitation,FALSE
GENERATE TEST RIDES,Email,R 1300 RS,Test Ride Reminder Email,2025-05-27,R1300RS_TESTRIDE_EMAIL_003,"Subject: Tomorrow: Your R 1300 RS marathon begins<br><br>Hi [Name],<br><br>Just a reminder - your R 1300 RS test ride is tomorrow at [time]!<br><br>What to bring:<br>• Valid motorcycle license<br>• Full riding gear for touring comfort<br>• Your spirit of adventure!<br><br>Can't wait to show you why every second on the RS is a celebration of joy.<br><br>See you tomorrow!<br><br>[CTA: Get Directions]",Reminder,FALSE
GENERATE TEST RIDES,Instagram,R 1300 RS,Book a Test Ride Post,2025-05-27,R1300RS_TESTRIDE_IG_001,Ready to turn your tour into a sports event? 🏁<br><br>R 1300 RS test rides now available! Experience the Marathon Racer's perfect blend of sport and touring.<br><br>DM us or click the link in bio to book your ride!<br><br>#BMWR1300RS #TestRide #BMWMotorrad #MarathonRacer #BookNow,Social booking,FALSE
GENERATE TEST RIDES,Facebook,R 1300 RS,Book a Test Ride Post,2025-05-27,R1300RS_TESTRIDE_FB_001,🏍️ R 1300 RS TEST RIDES NOW OPEN! 🏍️<br><br>Experience the Marathon Racer - where refined touring meets race-bred performance!<br><br>✅ Extended test routes available<br>✅ Professional instruction<br>✅ Special test ride offers<br><br>Limited slots available this week. Book your sports touring adventure!<br><br>[Book Now Button],Social booking,FALSE
IN-STORE,Poster,R 1300 R,In-Store Feature Poster Copy,2025-05-27,R1300R_INSTORE_POSTER_001,THE GENIE IS HERE\n\nR 1300 R\n\nSEXY VERSATILITY UNLEASHED\n• 145hp Boxer Engine\n• 239kg Lightweight Design\n• Dynamic ESA Suspension\n• Keyless Ride Standard\n\nBORN FOR THE CURVE\n\nTest Ride Today,Feature showcase,FALSE
IN-STORE,Conversation,R 1300 R,Key Features Talking Points Script,2025-05-27,R1300R_INSTORE_SCRIPT_001,"R 1300 R Customer Conversation Guide\n\nOpening: ""The R 1300 R is our most versatile naked bike - we call it 'The Genie' because it delivers exactly what you want.""\n\nKey Points:\n1. Performance: ""145hp from the 1300cc Boxer engine gives you instant torque and that unique BMW character. It's sportier than ever but still comfortable for longer rides.""\n\n2. Weight: ""At just 239kg, it's lighter and more agile - perfect for both city riding and weekend canyon carving.""\n\n3. Technology: ""Dynamic ESA suspension adapts to your riding in real-time. Keyless Ride means you never fumble for keys.""\n\n4. Versatility: ""Sport suspension and ergonomics when you want them, comfort options when you need them. It's your bike, your way.""\n\n5. Design: ""That sharp, modern design isn't just for looks - every angle serves the riding experience.""\n\nClosing: ""Would you like to experience this versatility yourself? I can arrange a test ride.""",Sales guide,FALSE
IN-STORE,Screen,R 1300 R,Digital Screen Copy,2025-05-27,R1300R_INSTORE_SCREEN_001,"[Rotating Display]\n\nSlide 1: R 1300 R - THE GENIE\n""Sexy Versatility Unleashed""\n\nSlide 2: PURE PERFORMANCE\n145hp",149Nm,FALSE
IN-STORE,Poster,R 1300 R,POS Financing Template,2025-05-27,R1300R_INSTORE_FINANCE_001,"MAKE THE R 1300 R YOURS\n\nFrom £[XXX] per month*\n\nExample Finance:\n• £[X,XXX] deposit\n• [X]% APR\n• [48] monthly payments\n• Optional final payment\n\nPlus:\n✓ 3-year warranty\n✓ BMW Motorrad Service Inclusive options\n✓ Trade-in welcome\n\n*Subject to status. T&Cs apply.\n\nSpeak to our team today",Finance promotion,FALSE
IN-STORE,Poster,R 1300 RT,In-Store Feature Poster Copy,2025-05-27,R1300RT_INSTORE_POSTER_001,THE COMMANDER<br><br>R 1300 RT<br><br>BE IN FULL COMMAND<br>• 145hp Boxer Engine<br>• Riding Assistant with ACC<br>• Audio System 2.0 Standard<br>• DCA Suspension Available<br>• Variable Electronic Luggage<br><br>ULTIMATE EXPERTISE<br><br>Test Ride Today,Feature showcase,FALSE
IN-STORE,Conversation,R 1300 RT,Key Features Talking Points Script,2025-05-27,R1300RT_INSTORE_SCRIPT_001,"R 1300 RT Customer Conversation Guide<br><br>Opening: ""The R 1300 RT is The Commander - it puts you in full command with ultimate touring expertise. It's the hidden champion for discerning riders.""<br><br>Key Points:<br>1. Technology Leadership: ""Standard Riding Assistant with front and rear radar, ACC, and lane warnings. It's like having a co-pilot watching everything.""<br><br>2. Comfort Supremacy: ""Audio System 2.0 comes standard. Heated seats and grips warm in seconds. The optional DCA suspension adapts to any load or road automatically.""<br><br>3. Protection: ""Supreme wind and weather protection with adaptive deflectors. You arrive fresh after 500 miles.""<br><br>4. Practicality: ""24L tank, variable electronic luggage, smartphone charging - everything for commanding long distances.""<br><br>5. Hidden Performance: ""Don't let the comfort fool you - with 145hp and dynamic riding modes, this RT is sportier than ever.""<br><br>Closing: ""Would you like to experience what full command feels like? I can arrange a comprehensive test ride.""",Sales guide,FALSE
IN-STORE,Screen,R 1300 RT,Digital Screen Copy,2025-05-27,R1300RT_INSTORE_SCREEN_001,"[Rotating Display]<br><br>Slide 1: R 1300 RT - THE COMMANDER<br>""Be In Full Command""<br><br>Slide 2: REFINED POWER<br>145hp | 149Nm | Supreme Comfort<br><br>Slide 3: TECHNOLOGY<br>Riding Assistant | ACC | Audio 2.0<br><br>Slide 4: ULTIMATE EXPERTISE<br>The Hidden Champion<br><br>Slide 5: COMMAND YOUR TEST RIDE<br>Ask Our Team",Digital display,FALSE
IN-STORE,Poster,R 1300 RT,POS Financing Template,2025-05-27,R1300RT_INSTORE_FINANCE_001,"COMMAND THE R 1300 RT<br><br>From £[XXX] per month*<br><br>Example Finance:<br>• £[X,XXX] deposit<br>• [X]% APR<br>• [48] monthly payments<br>• Optional final payment<br><br>Plus:<br>✓ 3-year warranty<br>✓ Audio System 2.0 included<br>✓ BMW Service Inclusive<br>✓ Premium trade-in values<br><br>*Subject to status. T&Cs apply.<br><br>Take command today",Finance promotion,FALSE
IN-STORE,Poster,R 1300 RS,In-Store Feature Poster Copy,2025-05-27,R1300RS_INSTORE_POSTER_001,THE MARATHON RACER<br><br>R 1300 RS<br><br>TURN YOUR TOUR INTO A SPORTS EVENT<br>• 145hp Boxer Engine<br>• 245kg Lightweight Design<br>• Dynamic ESA Suspension<br>• Riding Assistant with Radar<br>• Race-Inspired Ergonomics<br><br>PERSISTENT EXCITEMENT<br><br>Test Ride Today,Feature showcase,FALSE
IN-STORE,Conversation,R 1300 RS,Key Features Talking Points Script,2025-05-27,R1300RS_INSTORE_SCRIPT_001,"R 1300 RS Customer Conversation Guide<br><br>Opening: ""The R 1300 RS is the Marathon Racer - it turns every tour into a sports event with persistent excitement mile after mile.""<br><br>Key Points:<br>1. Performance: ""145hp from the 1300cc Boxer engine in our lightest RS ever at 245kg. It's the sportiest, most agile RS we've built.""<br><br>2. Design: ""That iconic BMW split face and dynamic flyline aren't just beautiful - they're functional, improving aerodynamics for high-speed touring.""<br><br>3. Technology: ""Riding Assistant with rear radar keeps you safe. Dynamic ESA adapts to any road. It's race technology for the real world.""<br><br>4. Ergonomics: ""Sportier riding position than ever before, but still comfortable for crossing continents. Lower, wider bars give you control and confidence.""<br><br>5. Versatility: ""From attacking mountain passes to eating up motorway miles - this bike makes every second a celebration of joy.""<br><br>Closing: ""Would you like to experience this persistent excitement yourself? I can arrange an extended test ride.""",Sales guide,FALSE
IN-STORE,Screen,R 1300 RS,Digital Screen Copy,2025-05-27,R1300RS_INSTORE_SCREEN_001,"[Rotating Display]<br><br>Slide 1: R 1300 RS - THE MARATHON RACER<br>""Turn Your Tour Into A Sports Event""<br><br>Slide 2: PURE PERFORMANCE<br>145hp | 149Nm | 245kg<br><br>Slide 3: TECHNOLOGY<br>Dynamic ESA | Riding Assistant | Radar Safety<br><br>Slide 4: PERSISTENT EXCITEMENT<br>Race-Bred Touring Excellence<br><br>Slide 5: TEST RIDE TODAY<br>Ask Our Team",Digital display,FALSE
IN-STORE,Poster,R 1300 RS,POS Financing Template,2025-05-27,R1300RS_INSTORE_FINANCE_001,"MAKE THE R 1300 RS YOURS<br><br>From £[XXX] per month*<br><br>Example Finance:<br>• £[X,XXX] deposit<br>• [X]% APR<br>• [48] monthly payments<br>• Optional final payment<br><br>Plus:<br>✓ 3-year warranty<br>✓ Touring package available<br>✓ BMW Motorrad Service Inclusive<br>✓ Trade-in welcome<br><br>*Subject to status. T&Cs apply.<br><br>Start your marathon today",Finance promotion,FALSE
FOLLOW-UP,Email,R 1300 R,Financing Options Email,2025-05-27,R1300R_FOLLOWUP_EMAIL_001,"Subject: Making your R 1300 R dream a reality\n\nHi [Name],\n\nThank you for your interest in the R 1300 R. I wanted to share some flexible ways to make this incredible machine yours:\n\nFinance Options:\n• HP: From £[XXX]/month with competitive rates\n• PCP: Lower monthly payments with flexibility\n• Personal loan: We work with multiple lenders\n\nCurrent Offers:\n• [£XXX] deposit contribution\n• Complimentary first service\n• Trade-in bonus evaluation\n\nI can create a personalized quote based on your preferences. What works best for your budget?\n\n[CTA: Get My Quote]\n\nBest regards,\n[Dealer name]",Finance follow-up,FALSE
FOLLOW-UP,Email,R 1300 R,Post-Test Ride Follow-Up Email,2025-05-27,R1300R_FOLLOWUP_EMAIL_002,"Subject: How was your R 1300 R experience?\n\nHi [Name],\n\nI hope you enjoyed unleashing the genie yesterday! The R 1300 R certainly shows what 145hp of versatility feels like.\n\nI'm curious - what impressed you most? The sporty handling? The comfortable ergonomics? The instant Boxer torque?\n\nIf you're ready to make it yours:\n• We have [color] available for immediate delivery\n• Special test ride discount of £[XXX] this week only\n• Finance from £[XXX]/month\n\nAny questions about specs, accessories, or options? I'm here to help make this exactly the bike you want.\n\n[CTA: Configure My R 1300 R]\n\nLooking forward to hearing from you!\n\n[Dealer name]",Test ride follow-up,FALSE
FOLLOW-UP,Email,R 1300 R,Special Offer Follow-Up Email,2025-05-27,R1300R_FOLLOWUP_EMAIL_003,"Subject: Exclusive R 1300 R offer ending soon\n\nDear [Name],\n\nI wanted to make sure you didn't miss this - your exclusive R 1300 R offer expires in 48 hours:\n\n🏍️ £[XXX] off RRP\n🏍️ Complimentary Dynamic Package upgrade\n🏍️ 0% finance available*\n🏍️ Enhanced trade-in value\n\nThe R 1300 R is selling fast, and this sexy versatility won't wait around. We currently have:\n• [Color 1] - In stock\n• [Color 2] - 2 weeks delivery\n\nShall we secure yours today?\n\n[CTA: Claim My Offer]\n\n*T&Cs apply",Limited offer,FALSE
